Foto Original A,Foto Original B,Similaridade,Threshold,O Modelo Achou Igual?
lucasserioclaro.jpg,paulistaserioclaro.jpg,-0.0054,0.45,👎 NÃO
lucasserioclaro.jpg,paulistaserioescuro.jpg,-0.0095,0.45,👎 NÃO
lucasserioclaro.jpg,paulistasorrindoclaro.jpg,-0.0175,0.45,👎 NÃO
lucasserioclaro.jpg,pauloserioclaro.jpg,0.1391,0.45,👎 NÃO
lucasserioclaro.jpg,pauloserioescuro.jpg,0.1873,0.45,👎 NÃO
lucasserioclaro.jpg,paulosorrindoclaro.jpg,0.1451,0.45,👎 NÃO
lucasserioescuro.jpg,lucassorrindoclaro.jpg,0.7882,0.45,👍 SIM
lucasserioescuro.jpg,mateusserioescuro.JPG,0.0990,0.45,👎 NÃO
lucasserioescuro.jpg,mateussorrindoclaro.jpg,0.0183,0.45,👎 NÃO
lucasserioescuro.jpg,paulistaserioclaro.jpg,-0.0064,0.45,👎 NÃO
lucasserioescuro.jpg,paulistaserioescuro.jpg,-0.0158,0.45,👎 NÃO
lucasserioescuro.jpg,paulistasorrindoclaro.jpg,-0.0162,0.45,👎 NÃO
lucasserioescuro.jpg,pauloserioclaro.jpg,0.0858,0.45,👎 NÃO
lucasserioescuro.jpg,pauloserioescuro.jpg,0.1269,0.45,👎 NÃO
lucasserioescuro.jpg,paulosorrindoclaro.jpg,0.0785,0.45,👎 NÃO
lucassorrindoclaro.jpg,mateusserioescuro.JPG,0.1250,0.45,👎 NÃO
lucassorrindoclaro.jpg,mateussorrindoclaro.jpg,0.0180,0.45,👎 NÃO
lucassorrindoclaro.jpg,paulistaserioclaro.jpg,-0.0259,0.45,👎 NÃO
lucassorrindoclaro.jpg,paulistaserioescuro.jpg,-0.0085,0.45,👎 NÃO
lucassorrindoclaro.jpg,paulistasorrindoclaro.jpg,-0.0366,0.45,👎 NÃO
lucassorrindoclaro.jpg,pauloserioclaro.jpg,0.1068,0.45,👎 NÃO
lucassorrindoclaro.jpg,pauloserioescuro.jpg,0.1640,0.45,👎 NÃO
lucassorrindoclaro.jpg,paulosorrindoclaro.jpg,0.0949,0.45,👎 NÃO
mateusserioescuro.JPG,mateussorrindoclaro.jpg,0.6581,0.45,👍 SIM
mateusserioescuro.JPG,paulistaserioclaro.jpg,0.0491,0.45,👎 NÃO
mateusserioescuro.JPG,paulistaserioescuro.jpg,0.0338,0.45,👎 NÃO
mateusserioescuro.JPG,paulistasorrindoclaro.jpg,-0.0051,0.45,👎 NÃO
mateusserioescuro.JPG,pauloserioclaro.jpg,0.1442,0.45,👎 NÃO
mateusserioescuro.JPG,pauloserioescuro.jpg,0.1481,0.45,👎 NÃO
mateusserioescuro.JPG,paulosorrindoclaro.jpg,0.1448,0.45,👎 NÃO
mateussorrindoclaro.jpg,paulistaserioclaro.jpg,0.0251,0.45,👎 NÃO
mateussorrindoclaro.jpg,paulistaserioescuro.jpg,-0.0077,0.45,👎 NÃO
mateussorrindoclaro.jpg,paulistasorrindoclaro.jpg,-0.0020,0.45,👎 NÃO
mateussorrindoclaro.jpg,pauloserioclaro.jpg,0.1194,0.45,👎 NÃO
mateussorrindoclaro.jpg,pauloserioescuro.jpg,0.0866,0.45,👎 NÃO
mateussorrindoclaro.jpg,paulosorrindoclaro.jpg,0.0976,0.45,👎 NÃO
paulistaserioclaro.jpg,paulistaserioescuro.jpg,0.8405,0.45,👍 SIM
paulistaserioclaro.jpg,paulistasorrindoclaro.jpg,0.9063,0.45,👍 SIM
paulistaserioclaro.jpg,pauloserioclaro.jpg,-0.0385,0.45,👎 NÃO
paulistaserioclaro.jpg,pauloserioescuro.jpg,-0.1085,0.45,👎 NÃO
paulistaserioclaro.jpg,paulosorrindoclaro.jpg,-0.0530,0.45,👎 NÃO
paulistaserioescuro.jpg,paulistasorrindoclaro.jpg,0.8472,0.45,👍 SIM
paulistaserioescuro.jpg,pauloserioclaro.jpg,-0.0477,0.45,👎 NÃO
paulistaserioescuro.jpg,pauloserioescuro.jpg,-0.1092,0.45,👎 NÃO
paulistaserioescuro.jpg,paulosorrindoclaro.jpg,-0.0773,0.45,👎 NÃO
paulistasorrindoclaro.jpg,pauloserioclaro.jpg,-0.0524,0.45,👎 NÃO
paulistasorrindoclaro.jpg,pauloserioescuro.jpg,-0.1000,0.45,👎 NÃO
paulistasorrindoclaro.jpg,paulosorrindoclaro.jpg,-0.0523,0.45,👎 NÃO
pauloserioclaro.jpg,pauloserioescuro.jpg,0.8255,0.45,👍 SIM
pauloserioclaro.jpg,paulosorrindoclaro.jpg,0.8556,0.45,👍 SIM
pauloserioescuro.jpg,paulosorrindoclaro.jpg,0.7623,0.45,👍 SIM
