LOG DE RESULTADOS POR FRAME
============================================================
Frame | Sim. Cosseno | Posição X | Posição Y | Área Relativa
0200  | 0.2198       | 0.3967    | 0.5469    | 0.1137
0201  | 0.1469       | 0.3776    | 0.5542    | 0.1061
0202  | 0.1508       | 0.3585    | 0.5459    | 0.1158
0203  | 0.1471       | 0.3420    | 0.5464    | 0.1124
0204  | 0.1418       | 0.3273    | 0.5474    | 0.1107
0205  | 0.1143       | 0.3160    | 0.5459    | 0.1106
0206  | 0.0747       | 0.3064    | 0.5459    | 0.1086
0207  | 0.0548       | 0.2951    | 0.5469    | 0.1044
0208  | 0.0585       | 0.2891    | 0.5459    | 0.1046
0209  | 0.0518       | 0.2821    | 0.5464    | 0.1025
0210  | 0.0664       | 0.2769    | 0.5464    | 0.1015
0211  | 0.0600       | 0.2726    | 0.5479    | 0.0983
0212  | 0.0750       | 0.2717    | 0.5488    | 0.0972
0213  | 0.0730       | 0.2691    | 0.5518    | 0.0949
0214  | 0.0663       | 0.2682    | 0.5518    | 0.0945
0215  | 0.0621       | 0.2691    | 0.5518    | 0.0940
0216  | 0.0702       | 0.2691    | 0.5522    | 0.0937
0217  | 0.0547       | 0.2691    | 0.5522    | 0.0937
0218  | 0.0649       | 0.2700    | 0.5527    | 0.0929
0219  | 0.0738       | 0.2708    | 0.5532    | 0.0930
0220  | 0.0603       | 0.2743    | 0.5542    | 0.0905
0221  | 0.0626       | 0.2752    | 0.5542    | 0.0900
0222  | 0.0565       | 0.2734    | 0.5532    | 0.0921
0223  | 0.0710       | 0.2743    | 0.5532    | 0.0926
0224  | 0.0635       | 0.2760    | 0.5532    | 0.0926
0225  | 0.0768       | 0.2795    | 0.5542    | 0.0914
0226  | 0.0695       | 0.2804    | 0.5542    | 0.0918
0227  | 0.0810       | 0.2821    | 0.5547    | 0.0931
0228  | 0.0843       | 0.2839    | 0.5547    | 0.0931
0229  | 0.0866       | 0.2847    | 0.5542    | 0.0939
0230  | 0.0797       | 0.2873    | 0.5542    | 0.0944
0231  | 0.0760       | 0.2891    | 0.5508    | 0.1001
0232  | 0.0616       | 0.2925    | 0.5513    | 0.1014
0233  | 0.0590       | 0.2969    | 0.5518    | 0.1023
0234  | 0.0656       | 0.3073    | 0.5513    | 0.1066
0235  | 0.1045       | 0.3186    | 0.5508    | 0.1089
0236  | 0.1461       | 0.3290    | 0.5513    | 0.1107
0237  | 0.1694       | 0.3455    | 0.5503    | 0.1127
0238  | 0.1700       | 0.3628    | 0.5493    | 0.1167
0239  | 0.1907       | 0.3819    | 0.5518    | 0.1153
0240  | 0.1788       | 0.3950    | 0.5557    | 0.1114
0241  | 0.2054       | 0.4106    | 0.5552    | 0.1192
0242  | 0.2177       | 0.4227    | 0.5537    | 0.1211
0243  | 0.2887       | 0.4306    | 0.5527    | 0.1214
