frame_id,mode,file,face_detected,similarity,match_030,match_035,match_040,match_045,match_050,match_055,match_060
560,ATAQUE,frame_000560_ATAQUE.jpg,1,0.610733,1,1,1,1,1,1,1
565,ATAQUE,frame_000565_ATAQUE.jpg,1,0.552835,1,1,1,1,1,1,0
570,ATAQUE,frame_000570_ATAQUE.jpg,1,0.565762,1,1,1,1,1,1,0
575,ATAQUE,frame_000575_ATAQUE.jpg,1,0.568290,1,1,1,1,1,1,0
580,ATAQUE,frame_000580_ATAQUE.jpg,1,0.547636,1,1,1,1,1,0,0
585,ATAQUE,frame_000585_ATAQUE.jpg,1,0.580558,1,1,1,1,1,1,0
590,ATAQUE,frame_000590_ATAQUE.jpg,1,0.571975,1,1,1,1,1,1,0
595,ATAQUE,frame_000595_ATAQUE.jpg,1,0.565162,1,1,1,1,1,1,0
600,ATAQUE,frame_000600_ATAQUE.jpg,1,0.566298,1,1,1,1,1,1,0
605,ATAQUE,frame_000605_ATAQUE.jpg,1,0.595375,1,1,1,1,1,1,0
610,ATAQUE,frame_000610_ATAQUE.jpg,1,0.567653,1,1,1,1,1,1,0
615,ATAQUE,frame_000615_ATAQUE.jpg,1,0.576260,1,1,1,1,1,1,0
620,ATAQUE,frame_000620_ATAQUE.jpg,1,0.572659,1,1,1,1,1,1,0
625,ATAQUE,frame_000625_ATAQUE.jpg,1,0.562193,1,1,1,1,1,1,0
630,ATAQUE,frame_000630_ATAQUE.jpg,1,0.583753,1,1,1,1,1,1,0
635,ATAQUE,frame_000635_ATAQUE.jpg,1,0.569455,1,1,1,1,1,1,0
640,ATAQUE,frame_000640_ATAQUE.jpg,1,0.565723,1,1,1,1,1,1,0
645,ATAQUE,frame_000645_ATAQUE.jpg,1,0.586936,1,1,1,1,1,1,0
650,ATAQUE,frame_000650_ATAQUE.jpg,1,0.581835,1,1,1,1,1,1,0
655,ATAQUE,frame_000655_ATAQUE.jpg,1,0.588527,1,1,1,1,1,1,0
660,ATAQUE,frame_000660_ATAQUE.jpg,1,0.600329,1,1,1,1,1,1,1
665,ATAQUE,frame_000665_ATAQUE.jpg,1,0.583799,1,1,1,1,1,1,0
670,ATAQUE,frame_000670_ATAQUE.jpg,1,0.587032,1,1,1,1,1,1,0
675,ATAQUE,frame_000675_ATAQUE.jpg,1,0.608728,1,1,1,1,1,1,1
680,ATAQUE,frame_000680_ATAQUE.jpg,1,0.559655,1,1,1,1,1,1,0
685,ATAQUE,frame_000685_ATAQUE.jpg,1,0.590814,1,1,1,1,1,1,0
690,ATAQUE,frame_000690_ATAQUE.jpg,1,0.586081,1,1,1,1,1,1,0
695,ATAQUE,frame_000695_ATAQUE.jpg,1,0.594965,1,1,1,1,1,1,0
700,ATAQUE,frame_000700_ATAQUE.jpg,1,0.583056,1,1,1,1,1,1,0
705,ATAQUE,frame_000705_ATAQUE.jpg,1,0.595405,1,1,1,1,1,1,0
710,ATAQUE,frame_000710_ATAQUE.jpg,1,0.580980,1,1,1,1,1,1,0
715,ATAQUE,frame_000715_ATAQUE.jpg,1,0.546206,1,1,1,1,1,0,0
720,ATAQUE,frame_000720_ATAQUE.jpg,1,0.570007,1,1,1,1,1,1,0
725,ATAQUE,frame_000725_ATAQUE.jpg,1,0.574825,1,1,1,1,1,1,0
730,ATAQUE,frame_000730_ATAQUE.jpg,1,0.572526,1,1,1,1,1,1,0
735,ATAQUE,frame_000735_ATAQUE.jpg,1,0.584828,1,1,1,1,1,1,0
740,ATAQUE,frame_000740_ATAQUE.jpg,1,0.585634,1,1,1,1,1,1,0
745,ATAQUE,frame_000745_ATAQUE.jpg,1,0.587325,1,1,1,1,1,1,0
750,ATAQUE,frame_000750_ATAQUE.jpg,1,0.576854,1,1,1,1,1,1,0
755,ATAQUE,frame_000755_ATAQUE.jpg,1,0.590104,1,1,1,1,1,1,0
760,ATAQUE,frame_000760_ATAQUE.jpg,1,0.597086,1,1,1,1,1,1,0
765,ATAQUE,frame_000765_ATAQUE.jpg,1,0.618262,1,1,1,1,1,1,1
770,ATAQUE,frame_000770_ATAQUE.jpg,1,0.591986,1,1,1,1,1,1,0
775,ATAQUE,frame_000775_ATAQUE.jpg,1,0.637418,1,1,1,1,1,1,1
780,ATAQUE,frame_000780_ATAQUE.jpg,1,0.637317,1,1,1,1,1,1,1
785,ATAQUE,frame_000785_ATAQUE.jpg,1,0.609295,1,1,1,1,1,1,1
790,ATAQUE,frame_000790_ATAQUE.jpg,1,0.595621,1,1,1,1,1,1,0
795,ATAQUE,frame_000795_ATAQUE.jpg,1,0.611204,1,1,1,1,1,1,1
800,ATAQUE,frame_000800_ATAQUE.jpg,1,0.627245,1,1,1,1,1,1,1
805,ATAQUE,frame_000805_ATAQUE.jpg,1,0.616875,1,1,1,1,1,1,1
810,ATAQUE,frame_000810_ATAQUE.jpg,1,0.606247,1,1,1,1,1,1,1
815,ATAQUE,frame_000815_ATAQUE.jpg,1,0.582842,1,1,1,1,1,1,0
820,ATAQUE,frame_000820_ATAQUE.jpg,1,0.538189,1,1,1,1,1,0,0
825,ATAQUE,frame_000825_ATAQUE.jpg,1,0.544908,1,1,1,1,1,0,0
830,ATAQUE,frame_000830_ATAQUE.jpg,1,0.581838,1,1,1,1,1,1,0
835,ATAQUE,frame_000835_ATAQUE.jpg,1,0.570463,1,1,1,1,1,1,0
840,ATAQUE,frame_000840_ATAQUE.jpg,1,0.653836,1,1,1,1,1,1,1
845,ATAQUE,frame_000845_ATAQUE.jpg,1,0.654576,1,1,1,1,1,1,1
850,ATAQUE,frame_000850_ATAQUE.jpg,1,0.680966,1,1,1,1,1,1,1
855,ATAQUE,frame_000855_ATAQUE.jpg,1,0.714644,1,1,1,1,1,1,1
860,ATAQUE,frame_000860_ATAQUE.jpg,1,0.684794,1,1,1,1,1,1,1
865,ATAQUE,frame_000865_ATAQUE.jpg,1,0.666007,1,1,1,1,1,1,1
870,ATAQUE,frame_000870_ATAQUE.jpg,1,0.656820,1,1,1,1,1,1,1
875,ATAQUE,frame_000875_ATAQUE.jpg,1,0.099352,0,0,0,0,0,0,0
880,ATAQUE,frame_000880_ATAQUE.jpg,1,0.127581,0,0,0,0,0,0,0
885,ATAQUE,frame_000885_ATAQUE.jpg,1,0.180569,0,0,0,0,0,0,0
890,ATAQUE,frame_000890_ATAQUE.jpg,1,0.182633,0,0,0,0,0,0,0
895,ATAQUE,frame_000895_ATAQUE.jpg,1,0.184252,0,0,0,0,0,0,0
900,ATAQUE,frame_000900_ATAQUE.jpg,1,0.176363,0,0,0,0,0,0,0
905,ATAQUE,frame_000905_ATAQUE.jpg,1,0.134761,0,0,0,0,0,0,0
910,ATAQUE,frame_000910_ATAQUE.jpg,1,0.655247,1,1,1,1,1,1,1
915,ATAQUE,frame_000915_ATAQUE.jpg,1,0.083557,0,0,0,0,0,0,0
920,ATAQUE,frame_000920_ATAQUE.jpg,1,0.073499,0,0,0,0,0,0,0
925,ATAQUE,frame_000925_ATAQUE.jpg,1,0.031561,0,0,0,0,0,0,0
930,ATAQUE,frame_000930_ATAQUE.jpg,1,0.394514,1,1,0,0,0,0,0
935,ATAQUE,frame_000935_ATAQUE.jpg,1,0.660384,1,1,1,1,1,1,1
940,ATAQUE,frame_000940_ATAQUE.jpg,1,0.674164,1,1,1,1,1,1,1
945,ATAQUE,frame_000945_ATAQUE.jpg,1,0.639884,1,1,1,1,1,1,1
950,ATAQUE,frame_000950_ATAQUE.jpg,1,0.610852,1,1,1,1,1,1,1
955,ATAQUE,frame_000955_ATAQUE.jpg,1,0.684121,1,1,1,1,1,1,1
960,ATAQUE,frame_000960_ATAQUE.jpg,1,0.665868,1,1,1,1,1,1,1
965,ATAQUE,frame_000965_ATAQUE.jpg,1,0.652639,1,1,1,1,1,1,1
970,ATAQUE,frame_000970_ATAQUE.jpg,1,0.127009,0,0,0,0,0,0,0
975,ATAQUE,frame_000975_ATAQUE.jpg,1,0.060543,0,0,0,0,0,0,0
980,ATAQUE,frame_000980_ATAQUE.jpg,1,0.196647,0,0,0,0,0,0,0
985,ATAQUE,frame_000985_ATAQUE.jpg,1,0.579062,1,1,1,1,1,1,0
990,ATAQUE,frame_000990_ATAQUE.jpg,1,0.624527,1,1,1,1,1,1,1
995,ATAQUE,frame_000995_ATAQUE.jpg,1,0.597251,1,1,1,1,1,1,0
1000,ATAQUE,frame_001000_ATAQUE.jpg,1,0.603834,1,1,1,1,1,1,1
1005,ATAQUE,frame_001005_ATAQUE.jpg,1,0.515637,1,1,1,1,1,0,0
1010,ATAQUE,frame_001010_ATAQUE.jpg,1,0.548707,1,1,1,1,1,0,0
1015,ATAQUE,frame_001015_ATAQUE.jpg,1,0.548573,1,1,1,1,1,0,0
1020,ATAQUE,frame_001020_ATAQUE.jpg,1,0.668133,1,1,1,1,1,1,1
1025,ATAQUE,frame_001025_ATAQUE.jpg,1,0.569126,1,1,1,1,1,1,0
1030,ATAQUE,frame_001030_ATAQUE.jpg,1,0.533390,1,1,1,1,1,0,0
1035,ATAQUE,frame_001035_ATAQUE.jpg,1,0.532875,1,1,1,1,1,0,0
1040,ATAQUE,frame_001040_ATAQUE.jpg,1,0.025184,0,0,0,0,0,0,0
1045,ATAQUE,frame_001045_ATAQUE.jpg,1,0.040568,0,0,0,0,0,0,0
1050,ATAQUE,frame_001050_ATAQUE.jpg,1,-0.000157,0,0,0,0,0,0,0
1055,ATAQUE,frame_001055_ATAQUE.jpg,1,0.118586,0,0,0,0,0,0,0
1060,ATAQUE,frame_001060_ATAQUE.jpg,1,0.630133,1,1,1,1,1,1,1
1065,ATAQUE,frame_001065_ATAQUE.jpg,1,0.584286,1,1,1,1,1,1,0
1070,ATAQUE,frame_001070_ATAQUE.jpg,1,0.631817,1,1,1,1,1,1,1
1075,ATAQUE,frame_001075_ATAQUE.jpg,1,0.577174,1,1,1,1,1,1,0
1080,ATAQUE,frame_001080_ATAQUE.jpg,1,0.559627,1,1,1,1,1,1,0
1085,ATAQUE,frame_001085_ATAQUE.jpg,1,0.524636,1,1,1,1,1,0,0
1090,ATAQUE,frame_001090_ATAQUE.jpg,1,0.555344,1,1,1,1,1,1,0
1095,ATAQUE,frame_001095_ATAQUE.jpg,1,0.542694,1,1,1,1,1,0,0
1100,ATAQUE,frame_001100_ATAQUE.jpg,1,0.533334,1,1,1,1,1,0,0
1105,ATAQUE,frame_001105_ATAQUE.jpg,1,0.544210,1,1,1,1,1,0,0
1110,ATAQUE,frame_001110_ATAQUE.jpg,1,0.600861,1,1,1,1,1,1,1
1115,ATAQUE,frame_001115_ATAQUE.jpg,1,0.071066,0,0,0,0,0,0,0
1120,ATAQUE,frame_001120_ATAQUE.jpg,1,0.068187,0,0,0,0,0,0,0
1125,ATAQUE,frame_001125_ATAQUE.jpg,1,0.460447,1,1,1,1,0,0,0
1130,ATAQUE,frame_001130_ATAQUE.jpg,1,0.603094,1,1,1,1,1,1,1
1135,ATAQUE,frame_001135_ATAQUE.jpg,1,0.485707,1,1,1,1,0,0,0
1140,ATAQUE,frame_001140_ATAQUE.jpg,1,0.500896,1,1,1,1,1,0,0
1145,ATAQUE,frame_001145_ATAQUE.jpg,1,0.504769,1,1,1,1,1,0,0
1150,ATAQUE,frame_001150_ATAQUE.jpg,1,0.546288,1,1,1,1,1,0,0
1155,ATAQUE,frame_001155_ATAQUE.jpg,1,0.385188,1,1,0,0,0,0,0
1160,ATAQUE,frame_001160_ATAQUE.jpg,1,0.549200,1,1,1,1,1,0,0
1165,ATAQUE,frame_001165_ATAQUE.jpg,1,0.558622,1,1,1,1,1,1,0
1170,ATAQUE,frame_001170_ATAQUE.jpg,1,0.541262,1,1,1,1,1,0,0
1175,ATAQUE,frame_001175_ATAQUE.jpg,1,0.559262,1,1,1,1,1,1,0
1180,ATAQUE,frame_001180_ATAQUE.jpg,1,0.510366,1,1,1,1,1,0,0
1185,ATAQUE,frame_001185_ATAQUE.jpg,1,0.518677,1,1,1,1,1,0,0
1190,ATAQUE,frame_001190_ATAQUE.jpg,1,0.512885,1,1,1,1,1,0,0
1195,ATAQUE,frame_001195_ATAQUE.jpg,1,0.511002,1,1,1,1,1,0,0
1200,ATAQUE,frame_001200_ATAQUE.jpg,1,0.537478,1,1,1,1,1,0,0
1205,ATAQUE,frame_001205_ATAQUE.jpg,1,0.534339,1,1,1,1,1,0,0
1210,ATAQUE,frame_001210_ATAQUE.jpg,1,0.525376,1,1,1,1,1,0,0
1215,ATAQUE,frame_001215_ATAQUE.jpg,1,0.522620,1,1,1,1,1,0,0
1220,ATAQUE,frame_001220_ATAQUE.jpg,1,0.590369,1,1,1,1,1,1,0
1225,ATAQUE,frame_001225_ATAQUE.jpg,1,0.599296,1,1,1,1,1,1,0
1230,ATAQUE,frame_001230_ATAQUE.jpg,1,0.596814,1,1,1,1,1,1,0
1235,ATAQUE,frame_001235_ATAQUE.jpg,1,0.121402,0,0,0,0,0,0,0
1240,ATAQUE,frame_001240_ATAQUE.jpg,1,0.156651,0,0,0,0,0,0,0
1245,ATAQUE,frame_001245_ATAQUE.jpg,1,0.595560,1,1,1,1,1,1,0
1250,ATAQUE,frame_001250_ATAQUE.jpg,1,0.602589,1,1,1,1,1,1,1
1255,ATAQUE,frame_001255_ATAQUE.jpg,1,0.606992,1,1,1,1,1,1,1
1260,ATAQUE,frame_001260_ATAQUE.jpg,1,0.632486,1,1,1,1,1,1,1
1265,ATAQUE,frame_001265_ATAQUE.jpg,1,0.552604,1,1,1,1,1,1,0
1270,ATAQUE,frame_001270_ATAQUE.jpg,1,0.535048,1,1,1,1,1,0,0
1275,ATAQUE,frame_001275_ATAQUE.jpg,1,0.569559,1,1,1,1,1,1,0
1280,ATAQUE,frame_001280_ATAQUE.jpg,1,0.535048,1,1,1,1,1,0,0
1285,ATAQUE,frame_001285_ATAQUE.jpg,1,0.591681,1,1,1,1,1,1,0
1290,ATAQUE,frame_001290_ATAQUE.jpg,1,0.544227,1,1,1,1,1,0,0
1295,ATAQUE,frame_001295_ATAQUE.jpg,1,0.478442,1,1,1,1,0,0,0
1300,ATAQUE,frame_001300_ATAQUE.jpg,1,0.557766,1,1,1,1,1,1,0
1305,ATAQUE,frame_001305_ATAQUE.jpg,1,0.579919,1,1,1,1,1,1,0
1310,ATAQUE,frame_001310_ATAQUE.jpg,1,0.126183,0,0,0,0,0,0,0
1315,ATAQUE,frame_001315_ATAQUE.jpg,1,0.140698,0,0,0,0,0,0,0
1320,ATAQUE,frame_001320_ATAQUE.jpg,1,0.420029,1,1,1,0,0,0,0
1325,ATAQUE,frame_001325_ATAQUE.jpg,1,0.473629,1,1,1,1,0,0,0
1330,ATAQUE,frame_001330_ATAQUE.jpg,1,0.490531,1,1,1,1,0,0,0
1335,ATAQUE,frame_001335_ATAQUE.jpg,1,0.533553,1,1,1,1,1,0,0
1340,ATAQUE,frame_001340_ATAQUE.jpg,1,0.530021,1,1,1,1,1,0,0
1345,ATAQUE,frame_001345_ATAQUE.jpg,1,0.520475,1,1,1,1,1,0,0
1350,ATAQUE,frame_001350_ATAQUE.jpg,1,0.561596,1,1,1,1,1,1,0
1355,ATAQUE,frame_001355_ATAQUE.jpg,1,0.518445,1,1,1,1,1,0,0
1360,ATAQUE,frame_001360_ATAQUE.jpg,1,0.537649,1,1,1,1,1,0,0
1365,ATAQUE,frame_001365_ATAQUE.jpg,1,0.601099,1,1,1,1,1,1,1
1370,ATAQUE,frame_001370_ATAQUE.jpg,1,0.558749,1,1,1,1,1,1,0
1375,ATAQUE,frame_001375_ATAQUE.jpg,1,0.631667,1,1,1,1,1,1,1
1380,ATAQUE,frame_001380_ATAQUE.jpg,1,0.676173,1,1,1,1,1,1,1
1385,ATAQUE,frame_001385_ATAQUE.jpg,1,0.543900,1,1,1,1,1,0,0
1390,ATAQUE,frame_001390_ATAQUE.jpg,1,0.657849,1,1,1,1,1,1,1
1395,ATAQUE,frame_001395_ATAQUE.jpg,1,0.601688,1,1,1,1,1,1,1
1400,ATAQUE,frame_001400_ATAQUE.jpg,1,0.435499,1,1,1,0,0,0,0
1405,ATAQUE,frame_001405_ATAQUE.jpg,1,0.472343,1,1,1,1,0,0,0
1410,ATAQUE,frame_001410_ATAQUE.jpg,1,0.476344,1,1,1,1,0,0,0
