frame,mode,similarity,match_045,match_060,elapsed_s,fps,frame_saved
161,ATAQUE,0.000000,0,0,9.56,19.7,0
162,ATAQUE,0.000000,0,0,9.62,19.7,0
163,ATAQUE,0.000000,0,0,9.67,19.7,0
164,ATAQUE,0.000000,0,0,9.72,19.7,0
165,ATAQUE,0.000000,0,0,9.77,19.7,1
166,ATAQUE,0.000000,0,0,9.80,19.7,0
167,ATAQUE,0.000000,0,0,9.85,19.7,0
168,ATAQUE,0.000000,0,0,9.90,19.7,0
169,ATAQUE,0.000000,0,0,9.92,19.7,0
170,ATAQUE,0.000000,0,0,9.97,22.8,1
171,ATAQUE,0.000000,0,0,10.00,22.8,0
172,ATAQUE,0.000000,0,0,10.05,22.8,0
173,ATAQUE,0.000000,0,0,10.11,22.8,0
174,ATAQUE,0.000000,0,0,10.16,22.8,0
175,ATAQUE,0.000000,0,0,10.22,22.8,1
176,ATAQUE,0.000000,0,0,10.28,22.8,0
177,ATAQUE,0.000000,0,0,10.33,22.8,0
178,ATAQUE,0.000000,0,0,10.35,22.8,0
179,ATAQUE,0.000000,0,0,10.41,22.8,0
180,ATAQUE,0.000000,0,0,10.46,20.5,1
181,ATAQUE,0.000000,0,0,10.49,20.5,0
182,ATAQUE,0.000000,0,0,10.54,20.5,0
183,ATAQUE,0.000000,0,0,10.60,20.5,0
184,ATAQUE,0.000000,0,0,10.62,20.5,0
185,ATAQUE,0.000000,0,0,10.67,20.5,1
186,ATAQUE,0.000000,0,0,10.73,20.5,0
187,ATAQUE,0.000000,0,0,10.79,20.5,0
188,ATAQUE,0.000000,0,0,10.84,20.5,0
189,ATAQUE,0.000000,0,0,10.90,20.5,0
190,ATAQUE,0.000000,0,0,10.92,21.6,1
191,ATAQUE,0.000000,0,0,10.98,21.6,0
192,ATAQUE,0.000000,0,0,11.03,21.6,0
193,ATAQUE,0.000000,0,0,11.06,21.6,0
194,ATAQUE,0.000000,0,0,11.11,21.6,0
195,ATAQUE,0.000000,0,0,11.17,21.6,1
196,ATAQUE,0.000000,0,0,11.19,21.6,0
197,ATAQUE,0.000000,0,0,11.25,21.6,0
198,ATAQUE,0.000000,0,0,11.30,21.6,0
199,ATAQUE,0.000000,0,0,11.33,21.6,0
200,ATAQUE,0.000000,0,0,11.38,21.7,1
201,ATAQUE,0.000000,0,0,11.44,21.7,0
202,ATAQUE,0.000000,0,0,11.49,21.7,0
203,ATAQUE,0.000000,0,0,11.55,21.7,0
204,ATAQUE,0.000000,0,0,11.60,21.7,0
205,ATAQUE,0.000000,0,0,11.63,21.7,1
206,ATAQUE,0.000000,0,0,11.68,21.7,0
207,ATAQUE,0.000000,0,0,11.74,21.7,0
208,ATAQUE,0.000000,0,0,11.79,21.7,0
209,ATAQUE,0.000000,0,0,11.84,21.7,0
210,ATAQUE,0.000000,0,0,11.90,19.4,1
211,ATAQUE,0.000000,0,0,11.95,19.4,0
212,ATAQUE,0.000000,0,0,12.01,19.4,0
213,ATAQUE,0.000000,0,0,12.07,19.4,0
